Param,op,,instruccion,param1,param2,op param1,op param2,Result,,Instruccion,op
A,001,,MOV,A,B,001,010,[ins]001010,,MOV,000001
B,010,,,B,A,010,001,[ins]010001,,ADD,000010
(Dir),011,,,A,Lit,001,100,[ins]001100,,SUB,000011
Lit,100,,,B,Lit,010,100,[ins]010100,,AND,000111
(A),101,,,A,(Dir),001,011,[ins]001011,,JGE,010100
(B),110,,,B,(Dir),010,011,[ins]010011,,JLT,010101
 ,000,,,(Dir),A,011,001,[ins]011001,,JLE,010110
,,,,(Dir),B,011,010,[ins]011010,,JCR,010111
,,,,A,(B),001,110,[ins]001110,,NOP,000000
,,,,B,(B),010,110,[ins]010110,,PUSH,011000
,,,,(B),A,110,001,[ins]110001,,POP1,011001
,,,,(B),Lit,110,100,[ins]110100,,POP2,011010
,,,ADD SUB AND OR XOR,A,B,001,010,[ins]001010,,CALL,011011
,,,,B,A,010,001,[ins]010001,,RET1,011100
,,,,A,Lit,001,100,[ins]001100,,RET2,011101
,,,,B,Lit,010,100,[ins]010100,,RET,011110
,,,,A,(Dir),001,011,[ins]001011,,POP,011111
,,,,B,(Dir),010,011,[ins]010011,,,
,,,,(Dir), ,011,000,[ins]011000,,,
,,,,A,(B),001,110,[ins]001110,,,
,,,,B,(B),010,110,[ins]010110,,,
,,,NOT SHL SHR,A, ,001,000,[ins]001000,,,
,,,,B,A,010,001,[ins]010001,,,
,,,,(Dir),A,011,001,[ins]011001,,,
,,,,(B),A,110,001,[ins]110001,,,
,,,INC,A, ,001,000,[ins]001000,,,
,,,,B, ,010,000,[ins]010000,,,
,,,,(Dir), ,011,000,[ins]011000,,,
,,,,(B), ,110,000,[ins]110000,,,
,,,DEC,A, ,001,000,[ins]001000,,,
,,,CMP,A,B,001,010,[ins]001010,,,
,,,,A,Lit,001,100,[ins]001100,,,
,,,,A,(Dir),001,011,[ins]001011,,,
,,,,A,(B),001,110,[ins]001110,,,
,,,NOP, , ,000,000,[ins]000000,,,
,,,PUSH,A, ,001,000,[ins]001000,,,
,,,,B, ,010,000,[ins]010000,,,
,,,POP*,A, ,001,000,[ins]001000,,,
,,,,B, ,010,000,[ins]010000,,,
,,,CALL,Lit**, ,100,000,[ins]100000,,,
,,,RET*, , ,000,000,[ins]000000,,,
,,,"JMP JEQ JNE JGT JGE
JLT JLE JCR",Lit**, ,100,000,[ins]100000,,,
,,,*: doble operacion,,,,,,,,
,,,"**: ins, labels normalmente, pero tambien pueden ser literales",,,,,,,,
